Gene_Symbol,Boruta_Selezionato,Boruta_Tentativo,Boruta_Rank
ADAM3B /// ADAM3B,False,False,9587
ADAM5,False,False,5102
ADAM7,False,False,11681
ADAM8,False,False,4004
ADAM9,False,False,4264
ADAMDEC1,False,False,11681
ADAMTS1,False,False,3456
ADAMTS12,False,False,11681
ADAMTS13,False,False,4004
ADAMTS2,False,False,1679
ADAMTS20,False,False,52
ADAMTS3,False,False,2844
ADAMTS5,False,False,1439
ADAMTS6,False,False,7766
ADAMTS7,False,False,11681
ADAMTS8,False,False,4004
ADAMTS9,False,False,5102
ADAMTSL2,False,False,11681
ADAMTSL3,False,False,3456
ADAMTSL4,False,False,7766
ADAP1,False,False,11681
ADAP2,False,False,6116
ADAR,False,False,7766
ADARB1,False,False,7766
ADARB2,False,False,5102
ADAT1,False,False,11681
ADCK2,False,False,7766
ADCK3,False,False,515
ADCK4,False,False,2201
ADCY1,False,False,11681
ADCY10,False,False,7766
ADCY2,False,False,5102
ADCY3,False,False,5102
ADCY6,False,False,1945
ADCY7,False,False,11681
ADCY8,False,False,822
ADCY9,False,False,2908
ADCYAP1,False,False,5102
ADCYAP1R1,False,False,7766
ADD1,False,False,7766
ADD2,False,False,1058
ADD3,True,False,1
ADD3-AS1,False,False,7766
ADGB,False,False,11681
ADH1A,False,False,2625
ADH1B,False,False,9587
ADH1C,False,False,11681
ADH5,False,False,7766
ADH6,False,False,9195
ADH7,False,False,9587
ADI1,False,False,320
ADIPOQ,False,False,7766
ADIPOR1,False,False,1526
ADIPOR2,False,False,1174
ADIRF,False,False,11681
ADK,False,False,7766
ADM,False,False,11681
ADM2,False,False,11681
ADNP,False,False,11681
ADNP2,False,False,967
ADO,False,False,11681
ADORA1,False,False,11681
ADORA2A /// SPECC1L-ADORA2A,False,False,157
ADORA2B,False,False,2142
ADORA3,False,False,7766
ADPGK,False,False,2174
ADPRH,False,False,7766
ADPRM,False,False,7766
ADRA1A,False,False,4264
ADRA1B,False,False,11681
ADRA1D,False,False,11681
ADRA2A,False,False,7766
ADRA2B,False,False,6116
ADRA2C,False,False,9587
ADRB1,False,False,7766
ADRB2,False,False,5102
ADRB3,False,False,2840
ADRBK1,False,False,11681
ADRBK2,False,False,3456
ADRM1,False,False,9587
ADSL,False,False,7766
ADSS,False,False,7766
ADTRP,False,False,7766
AEBP1,False,False,4004
AEN,False,False,6116
AES,False,False,11681
AF007147,False,False,1507
AF070581,False,False,7766
AF090939,False,False,7766
AF198444,False,False,3456
AFAP1,False,False,1043
AFF1,False,False,2850
AFF2,False,False,11681
AFF3,False,False,7766
AFF4,False,False,7766
AFG3L2,False,False,9587
AFM,False,False,7766
AFP,False,False,4360
AFTPH,False,False,9587
AGA,False,False,5102
AGAP1,False,False,7766
AGAP10 /// AGAP11 /// AGAP4 /// AGAP5 /// AGAP9 /// BMS1P5 /// CTGLF12P /// LOC101060581,False,False,89
AGAP11 /// AGAP4 /// AGAP6 /// AGAP7P /// CTGLF12P /// LOC101060581,False,False,7766
AGAP2,False,False,774
AGBL2,False,False,2736
AGBL3,False,False,6116
AGBL5,False,False,1788
AGER,False,False,5102
AGFG1,False,False,7766
AGFG2,False,False,7766
AGGF1,False,False,9587
AGK,False,False,1402
AGL,False,False,11681
AGMAT,False,False,9587
AGO1,False,False,9587
AGO2 /// CASC7 /// CASC7 /// DQ574852,False,False,11681
AGO3,False,False,2492
AGO4,False,False,4004
AGPAT1,False,False,1817
AGPAT2,False,False,11681
AGPAT3,False,False,4004
AGPAT4,False,False,5102
AGPAT5,False,False,11681
AGPS,False,False,7766
AGR2,False,False,7766
AGRN,False,False,7766
AGRP,False,False,3456
AGT,False,False,7766
AGTPBP1,False,False,11681
AGTR1,False,False,11681
AGTR2,False,False,11681
AGXT,False,False,11681
AHCTF1,False,False,185
AHCY,False,False,667
AHCYL1,False,False,7766
AHCYL2,False,False,7766
AHDC1,False,False,9587
AHI1,False,False,7766
AHNAK,False,False,4004
AHNAK2,False,False,11681
AHR,False,False,2727
AHSA1,False,False,985
AHSA2,False,False,2503
AHSG,False,False,5102
AHSP,False,False,2980
AICDA,False,False,11681
AIDA,False,False,1463
AIF1,False,False,5102
AIFM1,False,False,11681
AIM1,False,False,5102
AIM1L,False,False,4264
AIM2,False,False,5102
AIMP1,False,False,3068
AIMP2,False,False,2416
AIP,False,False,329
AIPL1,False,False,1866
AIRE,False,False,9195
AJ011981 /// DPY19L1,False,False,7766
AJAP1,False,False,9587
AK021537,False,False,1042
AK021933,False,False,11681
AK022030 /// TROVE2,False,False,1257
AK055981,False,False,11681
AK055981 /// RP11-617F23.1,False,False,11681
AK096803 /// RP11-395B7.2,False,False,11681
AK1,False,False,11681
AK125860 /// RP11-582J16.4,False,False,6116
AK2,False,False,2740
AK291611 /// TRGV7 /// TRGV7,False,False,9195
AK4 /// LOC100507855,False,False,11681
AK5,False,False,11681
AK6,False,False,11681
AK6 /// TAF9,False,False,5102
AKAP1,False,False,11681
AKAP10,False,False,11681
AKAP11,False,False,1162
AKAP12,False,False,46
AKAP13,False,False,11681
AKAP17A,False,False,7766
AKAP2 /// PALM2-AKAP2,False,False,3456
AKAP3,False,False,5102
AKAP4,False,False,11681
AKAP5,False,False,2598
AKAP6,False,False,11681
AKAP7,False,False,11681
AKAP8,False,False,6116
AKAP8L,False,False,3456
AKAP9,False,False,5102
AKIP1,False,False,5102
AKIP1 /// NUAK2,False,False,11681
AKIRIN1,False,False,334
AKR1A1,False,False,9587
AKR1B1,False,False,3456
AKR1B10,False,False,7766
AKR1C1,False,False,9195
AKR1C2 /// LOC101930400,False,False,2384
AKR1C3,False,False,1682
AKR1C4,False,False,11681
AKR1D1,False,False,5102
AKR7A2,False,False,11681
AKR7A3,False,False,3456
AKT1,False,False,9587
AKT2,False,False,1621
AKT3,False,False,2033
AKTIP,False,False,209
AL109706,False,False,7766
AL590762.11,False,False,5102
AL928768.3 /// Ig alpha 1-[alpha]2m /// IGH,False,False,5102
ALAD,False,False,11681
ALAS1,False,False,11681
ALAS2,False,False,7766
ALB,False,False,11681
ALCAM,False,False,1921
ALDH18A1,False,False,5102
ALDH1A1,False,False,71
ALDH1A2,False,False,7766
ALDH1A2 /// LOC101928635,False,False,7766
ALDH1A3,False,False,11681
ALDH1B1,False,False,5102
ALDH1L1,False,False,9587
ALDH2,False,False,11681
ALDH3A1,False,False,1951
ALDH3A2,False,False,7766
ALDH3B1,False,False,7766
ALDH3B2,False,False,7766
ALDH4A1,False,False,6116
ALDH5A1,False,False,1776
