Gene,Coefficiente
RNF25,1.9232250718473798
CCR1,1.5696321639207695
PRG3,1.4544251659562633
EGR3,1.4039843421975708
IL1B,1.3219409667048008
EGR2,1.2081559267639435
HLA-DRB4,1.1495303884130503
KRT23,0.8791175675845606
CXCR1,0.5686088631943133
FOSB,0.1378243759579309
KIAA0319L,-1.2699408530641951
PTGS2,-1.6974167263365951
HCAR3,-1.783674918477835
