,0
auc_validazione,0.43750000000000006
auc_95_ci_basso,0.14035087719298248
auc_95_ci_alto,0.7604166666666666
brier_score,0.2629128069107729
soglia_youden,0.959720664046074
sensibilita,0.75
specificita,0.33333333333333337
indice_youden,0.08333333333333348
accuratezza,0.6363636363636364
acc_bilanciata,0.5416666666666667
ppv_11pct,0.12207151664611592
npv_11pct,0.9151670951156812
tn,2.0
fp,4.0
fn,4.0
tp,12.0
