Gene_Symbol,Mean_T1D,Mean_Control,Log2FC,P_Value,FDR
MRPL18,10.198940746425503,9.907557099010559,0.2913836474149445,0.0011950987170530082,0.08601084884426949
VPS39,9.16729482650939,8.855386864330775,0.3119079621786156,0.0011964513194763348,0.08601084884426949
PEAK1,5.530028854462518,4.983478755989205,0.5465500984733129,0.001225478612904125,0.08763144684338227
ST8SIA4,8.261041038454785,7.828018313719734,0.4330227247350509,0.001263751174544984,0.0898926164419761
SLC4A8,5.2942125745828985,5.989410539728001,-0.6951979651451028,0.0013422121568531938,0.09115576532598449
BNIP2,10.256023307499056,10.569891834345814,-0.3138685268467576,0.0013302332041941634,0.09115576532598449
FRAT1,9.746462657132536,9.51387126727104,0.2325913898614953,0.0013075478024815032,0.09115576532598449
CTAGE15 /// CTAGE4 /// CTAGE8 /// CTAGE9,8.75917854808265,8.402350682114234,0.3568278659684161,0.001331060794386535,0.09115576532598449
MYLPF,4.478873853789782,3.992299063064942,0.4865747907248399,0.0013035454173872822,0.09115576532598449
SLC25A20,9.85834831756198,9.572240134328442,0.28610818323353726,0.0012928355084456822,0.09115576532598449
ATP5O,10.728156113027538,10.880242301458608,-0.15208618843107047,0.001342031337033339,0.09115576532598449
PWP2,8.647026085282489,8.301566955406068,0.3454591298764207,0.0013293790853174002,0.09115576532598449
RNF34,10.280514751860368,9.930390584538038,0.3501241673223294,0.001340919240655401,0.09115576532598449
HEATR2,9.375158326115608,9.177638032785344,0.197520293330264,0.0013667102937416009,0.09235544809958868
ORMDL2,10.389657245018943,10.138945354362093,0.2507118906568504,0.0013823312734027975,0.09294630427880003
RNF146,8.523943351435875,8.191121939074945,0.3328214123609303,0.0013968954928131022,0.09346060685826275
HIF1A,11.749070365239701,12.024701898375683,-0.2756315331359822,0.0014233200509371946,0.0944447879620227
ABCC5,9.208915267855847,8.886112317412456,0.3228029504433909,0.0014329370401375398,0.0944447879620227
PTPRE,11.074059754395869,10.749311937734289,0.3247478166615796,0.0014316552971066954,0.0944447879620227
SOX4,6.737300170158319,7.125174720848501,-0.3878745506901824,0.0014395579963134796,0.0944447879620227
USP21,8.931044836768844,8.686721284473437,0.24432355229540725,0.0015152983866420766,0.09602789180203687
MYC,11.291981847113396,10.911044653133452,0.3809371939799444,0.0014935770127040623,0.09602789180203687
PTEN,9.60416347884624,9.76814296111616,-0.16397948226991943,0.001475736268052889,0.09602789180203687
CHST15,10.398895611749051,10.07846795875783,0.32042765299122067,0.0015205304362290708,0.09602789180203687
VNN1,8.362106885761728,7.7587815567541805,0.6033253290075473,0.0014900999179737072,0.09602789180203687
CSNK1D,8.338188641410895,7.945660865189752,0.39252777622114277,0.0014884056623550796,0.09602789180203687
ISG20,11.292822675692882,11.023649260373945,0.2691734153189369,0.001515262175145512,0.09602789180203687
RAP2C,9.489061927690644,9.743542792891033,-0.2544808652003887,0.001519195187005181,0.09602789180203687
FUBP3,8.062701108956933,8.417492159172665,-0.35479105021573254,0.0015384287086360525,0.09645612434688448
DPP8,10.459951884309731,10.633831706794533,-0.1738798224848015,0.00154158511719771,0.09645612434688448
BOLA1,7.7514009208583,7.362282669025976,0.38911825183232374,0.0015891461470649217,0.09851977145680009
RNASEH1,9.53811247805227,9.763702787401932,-0.22559030934966273,0.001584257180707592,0.09851977145680009
ITGA10,7.401145207769356,7.131329357651961,0.2698158501173946,0.001626166553301653,0.09944633922113955
SUZ12,11.008206714486349,11.207676210120164,-0.19946949563381544,0.0016257874886609638,0.09944633922113955
DYNLT3,9.971769732780304,10.168768272228531,-0.1969985394482272,0.0016182689246663647,0.09944633922113955
HLA-DOB,9.779676657828395,9.291675053487,0.4880016043413953,0.0016392982454507907,0.09979781886156502
MRPL39,8.869285899766453,8.496377142974328,0.37290875679212476,0.0016536553136705986,0.10006027155295877
DNM1L,8.957687320291026,9.181593467029261,-0.22390614673823528,0.0016718909722138132,0.10006027155295877
HLA-DQB2,6.068794135716701,6.687407766034492,-0.6186136303177916,0.0016730644544050658,0.10006027155295877
EXOC7,7.523820336886069,7.265866263688603,0.25795407319746566,0.001673223926819732,0.10006027155295877
LDHA,12.693854297606578,12.86414832396755,-0.17029402636097224,0.0017151310216112936,0.10053816257525403
TRAPPC3,9.609828115984742,9.394581358671234,0.2152467573135084,0.0017126383926412024,0.10053816257525403
